species,tetragonisca_angustula,nannotrigona_testaceicornis,paratrigona_opaca
Amaranthaceae,0,1,0
Apiaceae,155,21,6
Ilex_sp,8,0,0
Acmella_sp,0,0,1
Ageratum_sp,1,0,0
Asteraceae,41,0,0
Emilia_fosbergii,19,0,0
Galinsoga_parvifolia_,15,0,0
Senecio_sp,0,2,0
Smallanthus_connatus_,21,1,199
Tagetes_erecta,2,8,16
Taraxacum_sp,6,0,0
Impatiens_walleriana,0,3,0
Campanulaceae,0,2,0
Lozanella_sp1,4,0,0
Lozanella_sp2,0,0,33
Hedyosmum_Citrus,72,19,60
Costus_sp,0,0,3
Gaulteria_glomerata,1,0,0
Clitoria_sp,3,0,0
Senna_obtusifolia,53,10,4
Arachis_sp,0,0,6
Rhynchosia_minima,317,107,21
Ribes_bolivianum,1,0,0
Plectranthus_scutellarioides,0,0,1
Ligaria_sp,2,0,0
Banisteriopsis_gesneriaceae,0,27,1
Leandra_sp,1131,172,117
Miconia_sp,266,6,0
Tibouchina_Bellucia,77,10,0
Myrsine_sp,53,2,0
Eucalipto_sp,0,2,3
Myrcia_multiflora,0,11,3
Myrcia_selloi,5,0,0
Myrcianthes_sp,0,131,23
Myrtaceae_1,0,6,135
Myrtaceae_2,0,7,17
Oxalis_triporado,0,0,298
Bocconia_sp,3,6,4
Piper_sp,159,76,19
Poaceae,3,1,1
Eriobotrya_japonica_,0,0,5
Penna_sp,0,0,9
Palicourea_sp,0,23,0
Galianthe_subyungensis,5,0,0
Citrus_sp,4,23,16
Solanaceae,50,18,6
Solanaceae ,0,3,11
Lantana_camara,0,0,3
